inventarisnummer|Straat|Thv|X|Y|GSM|Deelgemeente
FT337|BOOMPJES|55/56|51,9162597656|4,4897799492||Centrum
FT338|PARKSTR|10|51,9068908691|4,4759497643||Centrum
FT339|ZALMHAVEN|19|51,9113807678|4,4801898003||Centrum
FT34|BERGWG|285|51,9340896606|4,4741201401||Noord
FT340|ZALMHAVEN|19|51,9113807678|4,4801898003||Centrum
FT341|WESTERSTR|24|51,9094314575|4,4817099571||Centrum
FT342|OOSTMAASSTR|5|51,9244117737|4,5097098351||Centrum
FT343|KLEIWG|265|51,9267082214|4,46585989||Hillegersberg
FT344|MAASSTR|4|51,9090690613|4,4802398682||Centrum
FT345|MAASSTR|18|51,9085693359|4,4813699722||Centrum
FT346|HARINGVLIET|63|51,9206581116|4,4956002235||Centrum
FT347|OPPERT|||||Centrum
FT348|OPPERT|||||Centrum
FT349|MYNSHERENPLN|to 14|51,8954200745|4,4932899475||Charlois
FT35|VD MEYDESTR|29|51,9306983948|4,4573202133||Noord
FT350|MYNSHERENPLN|14|51,8954200745|4,4932899475||Charlois
FT351|BOOMGAARDHOF|33|51,917350769|4,475810051||Centrum
FT352|SCHIEDAMSESNGL|193|51,9134483337|4,479279995||Centrum
FT353|KIPSTR|29|51,9230995178|4,4916701317||Centrum
FT354|SCHIEDAMSESNGL|191|51,9134902954|4,4791898727||Centrum
FT355|BREITNERSTR|98|51,9131813049|4,4671602249||Centrum
FT356|S GRAVENDYKWAL|26|51,9185409546|4,4632401466||Centrum
FT357|PRINSENHOF|25|51,9232597351|4,486869812||Centrum
FT358|ROCHUSSENSTR|78|51,9133415222|4,4679999352||Centrum
FT359|STIELTJESSTR| 6e|51,9118881226|4,4984498024||Feijenoord
FT36|WALENBURGERWG|8|51,9306297302|4,4692502022||Noord
FT360|STIELTJESPLN|6|51,9122695923|4,4996399879||Feijenoord
FT361|DONKERSLOOTSTR|21|51,893989563|4,5161299706||Feijenoord
FT362|L HILLEWG|229|51,8901100159|4,4960598946||Feijenoord
FT363|RYTUIGWG|1|51,9056396484|4,5062599182||Feijenoord
FT364|RYTUIGWG|1|51,9056396484|4,5062599182||Feijenoord
FT365|PRETORIALN|4|51,9018211365|4,496940136||Feijenoord
FT366|W VARKENOORDSEWG|121|51,8903503418|4,4980401993||Feijenoord
FT367|KATENDRECHTSELN|61|51,9004402161|4,4777197838||Feijenoord
FT368|ZWYNDRECHTSESTR|28|51,8934516907|4,5047101974||Feijenoord
FT369|PUTSELN|240|51,8973312378|4,4960198402||Feijenoord
FT37|C DE VRIESELN|30|51,9166297913|4,4594202042||Delfshaven
FT370|GROENE HILLEDK|249|51,8906517029|4,5081300735||Feijenoord
FT371|GROENE HILLEDK|249|51,8906517029|4,5081300735||Feijenoord
FT372|MAASKD|82|51,9143409729|4,4946298599||Feijenoord
FT373|ROZEMARYNSTR|73||||Feijenoord
FT374|SLAGHEKSTR|99|51,897480011|4,5092701912||Feijenoord
FT375|RANDWG|79|51,891658783|4,512430191||Feijenoord
FT376|HILLEVLIET|68|51,8961296082|4,5053400993||Feijenoord
FT377|DONKERSLOOTSTR|135|51,8914985657|4,5168600082||Feijenoord
FT378|BEYERLANDSELN|15|51,8989105225|4,5103402138||Feijenoord
FT379|STREVELSWG|194|51,8894615173|4,4978899956||Feijenoord
FT38|R FRUINSTR|45|51,9149208069|4,4559202194||Delfshaven
FT380|STREVELSWG|192|51,8894615173|4,4979701042||Feijenoord
FT381|STREVELSWG|91|51,8896102905|4,5003600121||Feijenoord
FT382|SLEEPHELLINGSTR|12|51,9117584229|4,4910202026||Feijenoord
FT383|MAASKD|82|51,9143409729|4,4946298599||Feijenoord
FT384|MAASKD|155|51,9113616943|4,4896697998||Feijenoord
FT385|MAASKD|158|51,9111785889|4,4894299507||Feijenoord
FT386|MAASKD|160|51,9110488892|4,4892802238||Feijenoord
FT387|RANDWG|148|51,8906707764|4,5143899918||Feijenoord
FT388|PR HENDRIKLN|30|51,9109306335|4,4906201363||Feijenoord
FT389|PR HENDRIKKD|89|51,9130783081|4,4946799278||Feijenoord
FT39|ZWAERDECROONSTR|20|51,9129295349|4,4625902176||Delfshaven
FT390|PR HENDRIKKD|114|51,9117202759|4,4938898087||Feijenoord
FT391|LANGENHORST|255|51,8748512268|4,4942798615||Charlois
FT392|MOERKERKESTR|55|51,8928413391|4,4922499657||Charlois
FT393|GRUTTOSTR|55|51,8885612488|4,469810009||Charlois
FT394|GEERVLIETSTR|9|51,8951187134|4,4894599915||Charlois
FT395|WEVERSHOEKSTR|37|51,8897895813|4,4925999641||Charlois
FT396|BOERGOENSESTR|66|51,8925209045|4,4725699425||Charlois
FT397|ZEGENSTR|89|51,8880081177|4,4678301811||Charlois
FT398|DAWESWG|20|51,9622116089|4,5439300537||Omoord
FT399|SCHIELN|23|51,9437904358|4,4219698906||Overschie
FT4|ESSENBURGSNGL|16B|51,922870636|4,4605398178||Delfshaven
FT40|SCHIETBAANLN|128|51,9156799316|4,45581007||Delfshaven
FT400|J LIGTHARTSTR|61|51,8857307434|4,4970397949||Feijenoord
FT401|YSCLUBSTR|69|51,9289703369|4,506840229||Kralingen/Crooswijk
FT402|2E JERICHOSTR|11|51,9314613342|4,5063300133||Kralingen/Crooswijk
FT403|ESSENLN|16|51,922870636|4,4605398178||Kralingen/Crooswijk
FT404|TAXUSSTR|3b|51,9306411743|4,5065498352||Kralingen/Crooswijk
FT405|R BAELDESTR|62|51,9241600037|4,5050601959||Kralingen/Crooswijk
FT406|GOUDSE RYWG|701|51,9280891418|4,4890398979||Kralingen/Crooswijk
FT407|P POTTERSTR|30|51,9240188599|4,5086598396||Kralingen/Crooswijk
FT408|TAXUSSTR|3b|51,9306411743|4,5065498352||Kralingen/Crooswijk
FT409|NOORDERHAVENKD|65|51,9339294434|4,4596300125||Noord
FT41|W BUYTEWECHSTR|120|51,9066505432|4,4574398994||Delfshaven
FT410|2E JERICHOSTR|15 B|51,9306488037|4,5076498985||Kralingen/Crooswijk
FT411|ZUIDHOEK|76||||Charlois
FT412|ZUIDHOEK|269||||Charlois
FT413|JERICHOLN|63|51,930809021|4,5067501068||Kralingen/Crooswijk
FT414|JERICHOLN|63|51,930809021|4,5067501068||Kralingen/Crooswijk
FT415|STATENSNGL|136|51,926651001|4,4566898346||Noord
FT416|LUZACSTR|16|51,934841156|4,462389946||Noord
FT417|BORSELAARSTR|19|51,8921394348|4,4920301437||Charlois
FT418|AMELANDSEPLN|20|51,8874015808|4,4837198257||Charlois
FT419|PLEINWG|197|51,8919715881|4,4779801369||Charlois
FT42|W BUYTEWECHSTR|227|51,9073791504|4,451980114||Delfshaven
FT420|BERGSELN|76|51,9391708374|4,4764299393||Noord
FT421|SONMANSSTR|138|51,9324989319|4,4598999023||Noord
FT422|SOURYSTR|50|51,9341201782|4,4584498405||Noord
FT423|WILLEBRORDUSPLN|23|51,9372291565|4,4772000313||Noord
FT424|ZESTIENHOVENSEKD|5|51,9408416748|4,4229297638||Overschie
FT425|BERGSE R ROTTEKD|hoek Prins Bernhard|51,9458503723|4,4895801544||Hillegersberg
FT426|PR MARGRIETLN|8|51,9467506409|4,4861102104||Hillegersberg
FT427|BYLWERFFSTR|26 hoek statenweg|51,9321594238|4,4562997818||Noord
FT428|DORDTSELN|66|51,8956108093|4,4945402145||Feijenoord
FT429|SCHALEKAMPPLN|onder Metrostation 25|51,8850517273|4,3815598488||Pernis
FT43|W BUYTEWECHSTR|213|51,9071998596|4,4533400536||Delfshaven
FT430|SCHALEKAMPPLN|onder Metrostation 25|51,8850517273|4,3815598488||Pernis
FT431|HOGERBEETSSTR|13|51,927230835|4,4584197998||Noord
FT432|HOGERBEETSSTR|13|51,927230835|4,4584197998|0629476693|Noord
FT433|NOORDERHAVENKD|111|51,93309021|4,4603600502||Noord
FT434|PROVENIERSPLN|3|51,9263000488|4,4690999985||Noord
FT435|PAETSSTR|4|51,9275817871|4,4585599899|0629476740|Noord
FT436|SCHIEWG|61|51,9318809509|4,4670600891||Noord
FT437|UNGERPLN|15|51,9289398193|4,4718799591||Noord
FT438|WALENBURGERWG|120|51,9265899658|4,4634699821||Noord
FT439|DORDTSELN|64|51,8956604004|4,4945597649||Feijenoord
