inventarisnummer|Straat|Thv|X|Y|GSM|Deelgemeente
FT576|HEEMRAADSPLN|4|51,9131393433|4,4534101486|0633540991|Delfshaven
FT577|MATHENESSERLN|230|51,9146995544|4,4443697929|0633540992|Delfshaven
FT578|HEEMRAADSSNGL|326|51,9103088379|4,4574599266|0633540993|Delfshaven
FT579|BEUKELSWG|81|51,921661377|4,4586501122|0633540994|Delfshaven
FT58|F BEKKERSTR|52|51,8912391663|4,4685401917||Charlois
FT580|BEUKELSDK|174|51,9199981689|4,4493398666|0633540995|Delfshaven
FT581|HAVENSTR|148|51,905960083|4,452270031|0633540996|Delfshaven
FT582|ESSENBURGSNGL|98|51,921661377|4,4477601051|0633540997|Delfshaven
FT583|SCHEPENSTR|25|51,930770874|4,4665398598|0633540998|Noord
FT584|GORDELWG|84/86|51,9396591187|4,4734201431|0633540999|Noord
FT585|BERGPOLDERSTR|58/62|51,9334602356|4,4667201042|0633595600|Noord
FT586|NOORDERHAVENKD|136|51,9330291748|4,4620599747|0633595601|Noord
FT587|HERLAERSTR|30|51,9302101135|4,4754199982|0633595602|Noord
FT588|J CATSSTR|17|51,9342689514|4,4832100868|0633595603|Noord
FT589|BERGSELN|97|51,9376792908|4,473400116|0633595604|Noord
FT59|ZWARTEWAALSTR|191|51,8931694031|4,4874801636||Charlois
FT590|BANIERSTR|73|51,9309501648|4,4721698761|0633595605|Noord
FT591|VROESENLN|52|51,9303016663|4,4565701485|0633595606|Noord
FT592|DELFGAAUWSTR|50|51,9388504028|4,471570015|0633595607|Noord
FT593|BERGWG|258/260|51,9337806702|4,4736399651|0633595608|Noord
FT594|MATHENESSERLN|244|51,9145011902|4,4616398811|0633595609|Delfshaven
FT595|W BUYTEWECHSTR|169|51,9070281982|4,4547100067|0633595610|Delfshaven
FT596|SCHOONDERLOOSTR|163|||0633595611|Delfshaven
FT597|PARALLELSTR|40|51,9440689087|4,4241299629|0633595612|Overschie
FT598|BATAVIERENSTR|39|||0633595613|Centrum
FT599|ZEEMANSSTR|11|||0633595614|Centrum
FT6|NOBELSTR|88|51,9324607849|4,4588499069||Noord
FT60|Bibliotheek|198|52,0025596619|4,3755202293||Hoogvliet
FT600|MOERKERKESTR|90/92|||0633595615|Charlois
FT601|PARALLELSTR|4|51,9430198669|4,4245200157|0633595616|Overschie
FT603|BEUKELSDK|32|51,9216499329|4,4586601257|06-33184382|Delfshaven
FT604|BEUKELSDK|22|51,9216804504|4,4588899612|06-33184388|Delfshaven
FT605|BEUKELSDK|24|51,9216804504|4,4588398933|06-33184395|Delfshaven
FT606|BEUKELSDK|172|51,9199714661|4,4492998123|0633184400|Delfshaven
FT607|BALKENSTR|14|||06-331844371|Delfshaven
FT608|BURG MEINESZLN|13|||06-33184403|Delfshaven
FT609|BURG MEINESZLN|43|||06-33184394|Delfshaven
FT61|DOEZASTR|2|51,9289398193|4,4641599655||Noord
FT610|BURG MEINESZLN|51|||06-33184398|Delfshaven
FT611|BURG MEINESZLN|72|||0633184397|Delfshaven
FT612|A PIERSONSTR|22|||06-33184405|Delfshaven
FT613|BEATRYSSTR|38|||06-33184359|Delfshaven
FT614|A MILDERSSTR|73|||06-33184383|Delfshaven
FT615|ESSENBURGSNGL|149|||06-33184380|Delfshaven
FT616|C DE VRIESELN|83|||06-33184360|Delfshaven
FT617|VOLMARYNSTR|148|||06-33184404|Delfshaven
FT618|ROCHUSSENSTR|199|||06-33184384|Delfshaven
FT619|ROCHUSSENSTR|335|||06-33184392|Delfshaven
FT62|SCHIEKD|624|51,9286117554|4,4736099243||Noord
FT620|WATERGEUSSTR|191|||06-33184365|Delfshaven
FT621|CORVERSTR|62|||06-33184378|Delfshaven
FT622|MAURITSSTR|128|||06-33184401|Centrum
FT623|STATENSNGL|van Goenstraat|||06-33184374|Noord
FT624|SCHIETBAANLN|34|||06-33184386|Centrum
FT625|STATENWG|159|||06-33184377|Noord
FT626|STADHOUDERSPLN|14|||06-33184391|Noord
FT627|G SCHOLTENSTR|11|||0633184366|Noord
FT628|T V POORTVLIETSTR|9|||06-33184379|Noord
FT629|HOOIDRIFT|13-15|||0633184375|Delfshaven
FT63|UNGERPLN|8|51,9289398193|4,4717998505||Noord
FT630|BERGWG|127|||0633184402|Noord
FT631|BERGWG|301|||0633184369|Noord
FT632|G SCHOLTENSTR|40|||0633184370|Noord
FT633|1E PYNACKERSTR|134|||0633184367|Noord
FT634|SCHIETBAANLN|86||||Delfshaven
FT635|SCHIEKD|109|||0633184362|Noord
FT636|OOSTERVANTSTR|3|||0633184390|Delfshaven
FT637|BEUKELSDK|80|||0633184376|Delfshaven
FT638|V OOSTERZEESTR|26|||0633184389|Delfshaven
FT639|PROVENIERSSNGL|22|||0633184381|Noord
FT64|UNGERPLN|8|51,9289398193|4,471809864||Noord
FT640|STADHOUDERSPLN|11|||0633184363|Noord
FT641|DUYVESTEYNHOF||||0633184368|Overschie
FT642|VLIETLN|32A|||0633184399|Kralingen/Crooswijk
FT643|VLIETLN|32A|||0633184373|Kralingen/Crooswijk
FT644|TABORSTR|12|||0633184372|Kralingen/Crooswijk
FT645|HOOIDRIFT|9|||0633184393|Delfshaven
FT646|KRALINGSE PLASLN|97B|||0633184387|Kralingen/Crooswijk
FT647|PALESTINASTR|59|||0633184385|Kralingen/Crooswijk
FT648|C DE VRIESELN|96|||0633184396|Delfshaven
FT649|GR FLORISSTR|28|||0633184406|Delfshaven
FT65|CROOSWYKSESNGL|13b|51,9297714233|4,4899902344||Kralingen/Crooswijk
FT650|WERKHOEFSTR|7|||0633184364|Delfshaven
FT651|C P TIELESTR|53|||0633184361|Delfshaven
FT652|HONDIUSSTR|32|||0633184358|Delfshaven
FT654|S MULLERSTR|1|||0649627869|Delfshaven
FT655|BLOKMAKERSSTR|25|||0649627107|Charlois
FT656|ESSENBURGSNGL|63|||0633406337|Delfshaven
FT657|GORDELWG|61|||0649627108|Noord
FT658|BERGSNGL|172|||0649627867|Noord
FT659|PARADYSLN|115|||0649627864|Kralingen/Crooswijk
FT66|CROOSWYKSESNGL|16|51,9297409058|4,4896597862||Kralingen/Crooswijk
FT660|PR MARGRIETLN|5||||Hillegersberg
FT661|BARONIESTR|56|||0649627862|Hillegersberg
FT662|ADRIANASTR|71|||0649627863|Centrum
FT663|ROCHUSSENSTR|61|||0649627106|Centrum
FT664|WALRAVENSTR|9|||0649627110|Charlois
FT665|V DIESTSTR|38-42|||0649627860|Charlois
FT666|BOERGOENSESTR|78|||0649627109|Charlois
FT667|BOERGOENSESTR|78|||0649627865|Charlois
FT668|Dorpsweg|2||||Charlois
ft669|PLEINWG|71|51,8905715942|4,484360218||Charlois
FT67|CROOSWYKSESNGL|29b|51,9298706055|4,4882397652||Kralingen/Crooswijk
ft670|BEATRYSSTR|69|51,9197883606|4,4568600655||Delfshaven
ft671|BILDERDYKSTR|210|51,9173698425|4,4326901436||Delfshaven
ft672|TIDEMANSTR|to 13|51,9188613892|4,4481201172||Delfshaven
ft673|V CITTERSSTR|34||||Delfshaven
ft674|ESSENBURGSNGL|to 127|51,9209709167|4,4453201294||Delfshaven
ft675|ESSENBURGSNGL|2|52,18957901|5,2952399254||Delfshaven
ft676|GR FLORISSTR|110|51,9189910889|4,4565601349||Delfshaven
ft677|MATHENESSERLN|396|51,9137001038|4,4508800507||Delfshaven
ft678|MATHENESSERLN|to 450|51,9148788452|4,4482898712||Charlois
ft679|ROCHUSSENSTR|375|51,9094390869|4,4507899284||Delfshaven
FT68|CROOSWYKSESNGL|31|51,9299087524|4,4880299568||Kralingen/Crooswijk
ft680|SCHIETBAANLN|74|51,9156684875|4,4590997696||Delfshaven
ft681|SCHIETBAANLN|126|51,9156913757|4,4561100006||Delfshaven
ft682|W BUYTEWECHSTR|50|51,9072799683|4,4602899551||Delfshaven
ft683|DONKERSLOOTSTR|to 111|51,8920898438|4,516699791||Feijenoord
ft684|W VARKENOORDSEWG|Breeweg|51,8906211853|4,5195097923||Feijenoord
ft685|BERGWG|243|51,9347686768|4,4751601219||Noord
ft686|LISPLN|hoek gordelweg|51,939239502|4,474050045||Noord
ft687|MOLENWATERWG|8|51,9269485474|4,4728999138||Noord
ft688|BERGSELN|to 126|51,9379806519|4,4740200043||Noord
FT689|L HILLEWG|110|51,8929290771|4,5020198822||Feijenoord
FT69|HG BOEZEM|23|51,9246292114|4,4977498055||Kralingen/Crooswijk
FT690|HEEMRAADSSNGL|246|51,9131584167|4,4561100006||Delfshaven
FT691|VAANDRIGSTR|25|51,9340209961|4,496650219||Kralingen/Crooswijk
FT692|GORDELWG|60|51,9401397705|4,4770798683||Noord
FT693|VD HOONAARDSTR|12|51,9357299805|4,4752402306||Noord
FT694|BERGWG|203|51,9356803894|4,4763598442||Noord
FT695|KOOTSEKD|32|51,9445495605|4,4843997955||Hillegersberg
FT696|BEGONIASTR|2|51,9450912476|4,4730601311||Hillegersberg
FT697|COOLHAVEN|126|51,9075813293|4,4564499855||Delfshaven
FT698|W BUYTEWECHSTR|126|51,906791687|4,4563698769||Delfshaven
FT699|BOSPOLDERSTR|11B|51,9095115662|4,4421701431||Delfshaven
FT7|NOBELSTR|88|51,9324607849|4,4588599205||Noord
FT70|C DE VRIESELN|3|51,9177093506|4,4591798782||Delfshaven
FT700|MATHENESSERDK|114|51,9167785645|4,4418702126||Delfshaven
FT701|SCHIEDAMSEWG BEN|467|51,9102401733|4,443210125||Delfshaven
FT702|MATHENESSERLN|466|51,9152488708|4,4477701187||Delfshaven
FT703|ROCHUSSENSTR|373|51,9094009399|4,4509501457||Delfshaven
FT704|MATHENESSERLN|398|51,9137115479|4,4507899284||Delfshaven
FT705|SOETENDAALSEWG|95|51,9393196106|4,4805297852||Noord
FT71|C DE VRIESELN|3|51,9177093506|4,4591898918|0629476379|Delfshaven
FT72|C DE VRIESELN|42|51,9162597656|4,4594597816||Delfshaven
FT73|C DE VRIESELN|42|51,9162597656|4,4594697952|0629476512|Delfshaven
FT74|C DE VRIESELN|101|51,9140815735|4,4596400261||Delfshaven
FT75|HEEMRAADSSNGL|26|51,9210395813|4,4560198784|0629476671|Delfshaven
FT76|HEEMRAADSSNGL|26|51,9210395813|4,456029892||Delfshaven
FT77|HEEMRAADSSNGL|26|51,9210395813|4,4560399055|0629476709|Delfshaven
FT78|MATHENESSERLN|228|51,9145889282|4,4623198509||Delfshaven
FT79|MATHENESSERLN|301|51,9142189026|4,45773983||Delfshaven
FT8|BERGSNGL|80|51,9378814697|4,4696698189||Noord
FT80|MATHENESSERLN|320|51,9139709473|4,4576601982||Delfshaven
FT81|BOSPOLDERPLN|32|51,9085006714|4,441860199||Delfshaven
FT82|PINKSTR|10|51,9176597595|4,4178299904||Delfshaven
FT83|MATHENESSERDK|87|51,9153900146|4,4353599548||Delfshaven
FT84|MATHENESSERWG|132|51,9142494202|4,4370298386||Delfshaven
FT85|D DANESTR|1|51,9140396118|4,4342098236||Delfshaven
FT86|ESSENBURGSNGL|118|51,9211082458|4,4458599091||Delfshaven
FT87|HEEMRAADSSNGL|213|51,9157104492|4,4543499947||Delfshaven
FT88|HEEMRAADSSNGL|213|51,9157104492|4,4543600082||Delfshaven
FT89|C P TIELESTR|13|51,9143791199|4,4534602165||Delfshaven
FT9|BERGSNGL|76|51,9380111694|4,4696297646||Noord
FT90|ROCHUSSENSTR|317|51,9089698792|4,4543199539||Delfshaven
FT91|VIRULYPLN|16|51,9197998047|4,4508099556||Delfshaven
FT92|VD TAKSTR|26|51,9144592285|4,4954900742||Feijenoord
FT93|PR HENDRIKKD|89|51,9130783081|4,4946799278||Feijenoord
FT94|PR HENDRIKKD|115|51,9116783142|4,4938101768||Feijenoord
FT95|PR HENDRIKKD|154|51,9102592468|4,4907798767||Feijenoord
FT96|PR HENDRIKLN|13|51,9155807495|4,5009198189||Feijenoord
FT97|DIAMANTWG|1|51,9464302063|4,4664797783||Hillegersberg
FT98|RANDWG|91|51,8913497925|4,5128397942||Feijenoord
FT99|BERGWG|265|51,9343414307|4,4745202065||Noord
